Region,flow,type,area,material,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1,inflow,detached,rural,steel,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.96E+00,1.96E+00,1.96E+00,1.96E+00,1.96E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.98E+00,1.98E+00,1.98E+00,1.98E+00,1.98E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,2.00E+00
2,inflow,detached,rural,steel,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.96E+00,1.96E+00,1.96E+00,1.96E+00,1.96E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.98E+00,1.98E+00,1.98E+00,1.98E+00,1.98E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,2.00E+00
3,inflow,detached,rural,steel,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.96E+00,1.96E+00,1.96E+00,1.96E+00,1.96E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.98E+00,1.98E+00,1.98E+00,1.98E+00,1.98E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,2.00E+00
4,inflow,detached,rural,steel,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.96E+00,1.96E+00,1.96E+00,1.96E+00,1.96E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.98E+00,1.98E+00,1.98E+00,1.98E+00,1.98E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,2.00E+00
5,inflow,detached,rural,steel,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.96E+00,1.96E+00,1.96E+00,1.96E+00,1.96E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.98E+00,1.98E+00,1.98E+00,1.98E+00,1.98E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,2.00E+00
6,inflow,detached,rural,steel,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.96E+00,1.96E+00,1.96E+00,1.96E+00,1.96E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.98E+00,1.98E+00,1.98E+00,1.98E+00,1.98E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,2.00E+00
7,inflow,detached,rural,steel,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.96E+00,1.96E+00,1.96E+00,1.96E+00,1.96E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.98E+00,1.98E+00,1.98E+00,1.98E+00,1.98E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,2.00E+00
8,inflow,detached,rural,steel,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.96E+00,1.96E+00,1.96E+00,1.96E+00,1.96E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.98E+00,1.98E+00,1.98E+00,1.98E+00,1.98E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,2.00E+00
9,inflow,detached,rural,steel,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.96E+00,1.96E+00,1.96E+00,1.96E+00,1.96E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.98E+00,1.98E+00,1.98E+00,1.98E+00,1.98E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,2.00E+00
10,inflow,detached,rural,steel,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.96E+00,1.96E+00,1.96E+00,1.96E+00,1.96E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.98E+00,1.98E+00,1.98E+00,1.98E+00,1.98E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,2.00E+00
11,inflow,detached,rural,steel,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.95E+00,1.96E+00,1.96E+00,1.96E+00,1.96E+00,1.96E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.97E+00,1.98E+00,1.98E+00,1.98E+00,1.98E+00,1.98E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,1.99E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.00E+00,2.01E+00
