Region,Building_type,steel,concrete,wood,copper,aluminium,glass,brick_rural,brick_urban
1,Detached,32.31,876.71,48.75,1.73,9.27,2.68,373,241
1,Semi-detached,32.89,1208.13,34.97,0.01,0.23,1.07,373,241
1,Appartments,97.36,995.92,37.17,0.31,1.94,6.35,373,241
1,High-rise,45.78,1040.35,28.66,0.01,2.2,1.2,373,241
2,Detached,7.26,472.1,48.45,0.8,1.84,3.32,373,241
2,Semi-detached,32.89,1208.13,34.97,0.01,0.23,1.07,373,241
2,Appartments,1.24,57.69,37.17,0.31,4.92,6.35,373,241
2,High-rise,61.48,265.24,54.48,0.01,3.05,4.42,373,241
3,Detached,32.63,846.33,53.07,1.73,3.56,2.68,373,241
3,Semi-detached,32.89,1208.13,34.97,0.01,0.23,1.07,373,241
3,Appartments,97.36,995.92,37.17,0.31,1.94,6.35,373,241
3,High-rise,116.98,910.21,54.48,0.01,2.2,4.42,373,241
4,Detached,35.5,735,90,1.73,3.56,2.68,373,241
4,Semi-detached,27,1315,40,0.01,0.23,1.07,373,241
4,Appartments,97.36,995.92,37.17,0.31,1.94,6.35,373,241
4,High-rise,116.98,910.21,54.48,0.01,2.2,4.42,373,241
5,Detached,32.63,897.65,868.96,1.73,3.56,0.8,373,241
5,Semi-detached,32.89,1208.13,34.97,0.01,0.23,1.07,373,241
5,Appartments,97.36,995.92,37.17,0.31,1.94,6.35,373,241
5,High-rise,116.98,611.19,20.63,0.01,2.2,0.66,373,241
6,Detached,35.15,607.64,19.78,1.73,3.56,1.18,373,241
6,Semi-detached,39.29,894.86,17.68,0.01,0.23,1.07,373,241
6,Appartments,37.5,933,2.7,0.31,1.94,1.8,373,241
6,High-rise,116.98,910.21,54.48,0.01,2.2,4.42,373,241
7,Detached,32.63,846.33,53.07,1.73,3.56,2.68,373,241
7,Semi-detached,32.89,1208.13,34.97,0.01,0.23,1.07,373,241
7,Appartments,97.36,995.92,37.17,0.31,1.94,6.35,373,241
7,High-rise,116.98,910.21,54.48,0.01,2.2,4.42,373,241
8,Detached,8.93,675.66,6.89,1.73,2.89,0.04,373,241
8,Semi-detached,32.89,1208.13,34.97,0.01,0.23,1.07,373,241
8,Appartments,26.73,995.92,42.06,0.31,1.94,6.35,373,241
