Region,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1,27596.71833,26511.70962,26750.08431,26897.43243,27028.18528,27152.19519,26495.10489,26602.02752,26615.11205,26594.80489,26549.64449,27375.28074,27480.1052,27599.29471,27725.05791,27916.13403,27707.31313,27821.77098,27978.18699,28158.63282,28402.6556,28043.10046,28343.92848,28629.2085,28849.27476,29070.08792,28564.90138,28717.72287,28869.95677,29018.90238,29174.68959,28655.7054,28850.06117,29042.88431,29233.85011,29426.92539,29558.20934,29737.94701,29917.26212,30094.54461,30298.03715
2,139174.1986,125867.4148,127322.8504,128717.2621,130088.2409,131427.4487,124800.3295,126246.5269,127693.7353,129088.1131,130621.9574,124774.94,126120.4408,127417.5098,128694.3419,130059.9958,126247.6688,127555.0444,128779.4127,129997.3007,131472.7333,127635.9119,128841.808,130022.8227,131174.899,132540.2483,129945.3259,131033.1814,132101.165,133161.354,134305.4643,135127.456,136136.2106,137120.3653,138096.6207,139060.5114,140549.7643,141459.8137,142345.0591,143211.4045,144167.4487
3,59066.89523,58256.51976,59366.3873,60445.323,61519.29395,62579.84345,60928.00928,61885.62134,62926.85286,64003.55877,65171.16865,62353.29215,63320.91917,64295.77776,65257.84095,66387.43982,63310.66069,64175.7187,65054.49833,65925.6636,66795.7355,64622.86638,65399.6136,66159.93088,66904.97159,67722.95906,66047.04863,66666.00087,67253.25408,67804.85258,68443.312,75935.41847,76508.80649,77041.19265,77546.04502,78027.6713,74695.00624,75011.15927,75289.0299,75529.9282,75828.18693
4,28110.21322,29591.19072,30633.07009,31732.16895,32838.40818,33963.96827,33532.83003,34597.76261,35684.01451,36734.90655,37882.33431,37333.22053,38408.69135,39545.46206,40696.49659,39766.2886,39376.43533,40240.34235,41223.0052,42218.88673,43225.742,42745.40502,43714.74182,44675.42316,45630.90479,46646.52732,45697.65589,46565.51898,47413.80927,48246.29577,49129.03749,47557.63768,48060.20764,48521.79819,48948.72398,49342.98419,47196.87758,47428.73192,47609.58933,47742.69721,47906.58278
5,82432.37175,71254.04781,72973.86184,74759.40767,76538.35556,78364.69852,66602.62966,67877.78161,69122.93662,70798.75768,72244.59983,63901.9408,64836.466,66261.31238,67230.81549,70627.09959,66797.10163,68030.28301,69261.28914,70492.64091,71745.79153,67519.53903,68736.38208,69939.22178,71087.09381,72280.42641,67006.04427,67910.75654,68820.16066,69722.293,70673.3268,75627.86463,76324.3005,76974.32073,77625.44001,78249.841,75136.14196,75583.99214,76006.59232,76395.72978,76864.18919
6,95681.68064,89478.51029,92038.99658,94603.99346,97195.24284,99813.82428,95616.57703,97938.45836,100531.3107,103277.3689,106237.0119,100859.2309,103416.36,106062.2358,108673.6854,109048.2581,104893.3773,107188.5399,109502.3199,111797.16,114103.6772,109982.756,112103.8906,114222.586,116296.5305,118525.9785,114603.9385,116629.4855,118421.1593,120183.6636,121914.3961,121363.7118,122645.5781,123892.4078,125237.2378,126552.8975,120500.2172,121341.3668,122120.1078,122824.2092,123671.326
7,59296.27155,58462.6163,60136.42308,61902.92323,63705.85982,65515.49362,62491.9881,63975.30867,65511.44801,67128.3999,68845.44412,65681.33932,67573.75464,69628.70265,71724.70013,74208.43818,70347.74061,72235.40789,74306.46975,76450.97877,78672.47505,75560.99677,77778.92468,80124.01886,82579.35439,85341.53276,82050.45136,84786.20755,87847.89441,91396.47651,95773.20797,93790.98933,95731.47434,97663.81541,99589.16377,101596.7838,94748.30923,96364.9322,97942.49996,99506.21981,101192.2395
8,81269.25931,86379.38877,89228.07019,92231.12034,95386.40946,98703.49782,103278.4482,106882.4832,110524.5447,114388.1557,118546.3622,119968.8924,123998.3942,128278.2367,132725.0019,137571.0682,141098.9493,145953.0699,151168.2624,156638.62,162382.0582,167557.6968,173873.8308,180483.8297,187452.6833,195194.0129,201140.3765,209232.3952,217802.3113,226946.019,237050.4896,275779.6477,289624.7845,304167.6854,319487.7816,335873.637,344845.6587,361954.9538,379835.6134,398507.2732,418639.7082
9,38285.26452,39122.59308,40336.50844,41615.76654,42966.43778,44398.54643,46397.56403,48055.96451,49812.64692,51667.4734,53720.58521,55447.4813,57621.88552,59921.07978,62350.23462,65059.24928,68881.8546,71927.88333,75125.25464,78465.96459,81991.17561,85939.09844,89754.65893,93937.40389,98650.53115,104061.9351,108623.0667,114626.1144,121033.3235,127873.5277,135503.4907,135993.0689,143168.4872,150773.777,158782.6627,167401.2786,173627.4489,182806.0084,192464.2925,202607.5772,213606.36
10,21749.91945,21134.876,22223.87913,23360.67289,24534.86119,25772.1475,24101.33669,25187.57848,26300.32863,27440.67161,28652.73171,27142.91337,28174.63315,29225.06563,30279.40747,31413.39624,30332.58838,31302.5596,32268.36109,33243.52267,34201.99747,32683.64611,33559.46739,34409.21786,35196.28719,36002.73425,34332.21416,34915.23479,35450.10695,35901.4956,36267.85364,30191.45353,30496.87739,30792.05086,31065.89398,31350.77429,30593.49674,30811.87726,31015.26552,31200.25413,31425.4419
