Region,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1,30518.57743,29291.75666,29551.09115,29709.44813,29849.42241,30016.60843,29278.67338,29394.47647,29400.26888,29375.13602,29286.54343,30184.26893,30297.016,30425.44779,30561.05428,30764.22183,30527.85205,30650.8024,30820.08534,31016.07251,31321.1371,30902.53859,31231.47607,31543.22457,31782.83534,32026.62424,31457.92669,31623.45808,31788.37569,31949.70677,32088.62392,31492.16962,31703.59469,31913.35263,32121.11331,32364.75962,32509.52179,32705.04366,32900.12016,33092.96753,33314.33223
2,153605.9983,138715.9838,140300.7661,141816.8098,143306.0301,144920.7698,137490.158,139063.8019,140639.2015,142153.9651,143655.5959,137076.9993,138536.0374,139941.382,141323.864,142789.0515,138515.4424,139931.5009,141255.5832,142572.4963,144349.2653,140001.3368,141305.095,142581.3051,143825.8039,145332.7995,142409.0725,143584.3825,144738.1164,145883.8605,147011.1617,147850.1961,148940.003,150003.3242,151058.3703,152240.0329,153847.3362,154831.4485,155788.8509,156726.123,157764.8971
3,65010.30399,64089.83909,65310.76773,66496.88868,67677.48863,68941.49793,67087.3865,68138.95563,69284.13423,70470.30177,71641.75934,68481.10356,69542.01998,70611.54374,71666.88908,72902.01036,69479.86242,70428.47004,71392.19542,72347.56737,73394.08947,70936.54149,71786.55349,72618.22433,73432.84837,74326.80665,72455.7589,73129.57501,73768.01655,74366.79608,74967.60673,83229.11703,83850.49379,84425.82385,84970.09821,85612.56818,81909.39691,82242.35576,82532.31132,82780.69734,83088.81734
4,31001.25478,32638.08322,33794.3765,35014.44096,36242.83821,37547.89917,37066.02516,38250.92247,39460.28616,40630.42207,41835.29786,41216.19938,42410.75371,43673.13629,44951.28001,43873.83036,43439.35343,44397.15721,45486.07347,46589.76943,47771.44738,47227.98321,48303.04128,49368.25467,50427.46147,51550.05819,50484.20787,51444.3266,52382.28644,53302.28434,54197.40299,52423.86947,52971.90866,53473.71034,53936.32034,54453.74551,52054.26253,52297.64488,52483.61613,52615.65872,52777.09756
5,92350.25733,79757.31919,81682.66894,83682.07822,85673.64146,87845.10982,74581.07953,76006.16412,77397.66033,79275.58299,80687.86323,71296.94273,72335.21682,73925.62119,75003.49118,78777.72579,74464.76489,75839.22581,77210.88892,78583.24492,80082.48851,75305.23895,76661.62085,78002.3723,79281.88078,80607.74672,74661.49049,75667.664,76679.24036,77682.74261,78680.09508,84287.0479,85057.98264,85776.31,86495.86106,87313.48897,83791.86536,84282.04436,84743.48439,85167.12791,85671.91928
6,106107.2289,99166.21587,102004.5243,104847.7667,107720.1229,110804.21,106090.0844,108664.0008,111539.9815,114586.5639,117654.9356,111627.0232,114454.7055,117381.3035,120269.1029,120615.7315,115951.8919,118484.4442,121037.0401,123568.5712,126300.4012,121654.823,123993.8307,126329.901,128615.4624,131064.4339,126642.2258,128874.9587,130845.3771,132785.8936,134561.8295,134070.5452,135474.7552,136837.2872,138298.673,139950.1944,132964.3337,133867.3079,134699.7667,135447.9952,136344.2726
7,64959.73654,64033.23573,65877.7921,67824.86947,69812.87043,71956.92617,68622.32568,70263.31011,71963.14808,73752.85008,75533.68333,72022.27905,74108.93606,76374.77757,78686.52223,81419.41796,77161.33098,79243.54947,81527.44598,83893.12516,86467.00441,83007.84549,85456.40133,88045.25343,90755.84508,93807.33837,90152.23873,93168.02637,96542.05279,100451.1995,105126.1679,102707.4365,104836.8689,106957.3984,109069.8887,111479.4338,104069.4024,105846.7514,107580.6928,109298.7635,111144.1456
8,88305.02617,93860.85631,96969.16702,100246.2334,103689.8701,107502.7862,112508.6387,116452.4909,120439.732,124670.0004,129057.6539,130598.1822,135005.6017,139687.3951,144553.3974,149843.12,153723.5408,159042.2139,164756.6687,170753.2205,177269.4647,182926.5518,189866.2524,197131.8584,204794.7689,213313.1971,219869.9374,228779.0035,238217.7898,248291.6534,259097.6022,301070.9854,316245.8787,332189.4487,348989.0354,367573.3251,377391.9704,396193.5353,415847.7947,436376.9351,458477.6848
9,41813.39295,42729.61062,44057.1561,45456.27932,46933.6991,48595.08104,50788.62127,52607.37556,54534.22199,56568.90527,58737.97664,60629.20494,63011.71337,65531.24811,68193.46113,71155.36547,75348.11942,78687.29547,82192.00275,85853.05283,89831.58066,94159.96775,98341.69801,102929.8907,108107.3822,114058.927,119074.8491,125680.1089,132731.6859,140261.6151,148468.2318,149030.4121,156915.8756,165275.0645,174079.6227,183909.0161,190702.2101,200810.4349,211448.6863,222623.1142,234710.4458
10,23906.71326,23220.7424,24419.62051,25671.09222,26963.78594,28388.91068,26537.02528,27734.58955,28961.50628,30218.89132,31499.36331,29822.18275,30956.30624,32111.07134,33270.08844,34512.56894,33312.25114,34377.3723,35437.73756,36508.40568,37618.72263,35923.81253,36884.97125,37817.22958,38680.27139,39563.69226,37704.50647,38341.38923,38924.9942,39416.26709,39753.94457,33043.64477,33372.2068,33689.45007,33982.98486,34345.94238,33494.45673,33726.49041,33941.841,34136.75102,34374.29568
